Doge,Dogaressa,"Doge raw","Dogaressa raw",Century,Start,End,"Family doge","Family dogaressa"
"Pietro Mocenigo","Laura Zorzi","Pietro Mocenigo (1474-1476)","1474-1476: Laura Zorzi",14,1474,1476,Mocenigo,Zorzi
"Andrea Vendramin","Regina Gradenico (o Gradenigo)","Andrea Vendramin (1476-1478)","1476-1478: Regina Gradenico (o Gradenigo)",14,1476,1478,Vendramin,Gradenigo
"Giovanni Mocenigo","Taddea Michiel","Giovanni Mocenigo (1478-1485)","1478-1485: Taddea Michiel",14,1478,1485,Mocenigo,Michiel
"Marco Barbarigo","Lucia Ruzzini","Marco Barbarigo (1485-1486)","1485-1486: Lucia Ruzzini",14,1485,1486,Barbarigo,Ruzzini
"Agostino Barbarigo","Elisabetta Soranzo","Agostino Barbarigo (1486-1501)","1486-1501: Elisabetta Soranzo",14,1486,1501,Barbarigo,Soranzo
"Leonardo Loredan","Giustina Giustiniani","Leonardo Loredan (1501-1521)","1501-1521: Giustina Giustiniani",15,1501,1521,Loredan,Giustinian
"Antonio Grimani","Caterina Loredan","Antonio Grimani (1521-1523)","1521-1523: Caterina Loredan",15,1521,1523,Grimani,Loredan
"Andrea Gritti","Benedetta Vendramin","Andrea Gritti (1523-1538)","1523-1538: Benedetta Vendramin",15,1523,1538,Gritti,Vendramin
"Pietro Lando","Maria Pasqualigo","Pietro Lando (1538-1545)","1538-1545: Maria Pasqualigo",15,1538,1545,Lando,Pasqualigo
"Francesco Donato","Alicia Giustiniani","Francesco Donato (1545-1553)","1545-1553: Alicia Giustiniani",15,1545,1553,Donato,Giustinian
"Marcantonio Trivisan",,"Marcantonio Trivisan (1553-1554)",,15,1553,1554,Trivisan,
"Francesco Venier",,"Francesco Venier (1554-1556)",,15,1554,1556,Venier,
"Lorenzo Priuli","Zilia Dandolo","Lorenzo Priuli (1556-1559)","1556-1559: Zilia Dandolo",15,1556,1559,Priuli,Dandolo
"Giorolamo Priuli","Elena Diedo","Giorolamo Priuli (1559-1567)","1559-1567: Elena Diedo",15,1559,1567,Priuli,Diedo
"Pietro Loredan","Maria Cappello","Pietro Loredan (1567-1570)","1567-1570: Maria Cappello",15,1567,1570,Loredan,Cappello
"Alvise Mocenigo","Loredana Marcello","Alvise Mocenigo (1570-1577)","1570-1577: Loredana Marcello",15,1570,1577,Mocenigo,Marcello
"Sebastiano Venier","Cecilia Contarini","Sebastiano Venier (1577-1578)","1577-1578: Cecilia Contarini",15,1577,1578,Venier,Contarini
"Nicolò da Ponte","Arcangela Canali","Nicolò da Ponte (1578-1585)","1578-1585: Arcangela Canali",15,1578,1585,Ponte,Canali
"Pasqual Cicogna","Laura Morosini","Pasqual Cicogna (1585-1595)","1585-1595: Laura Morosini",15,1585,1595,Cicogna,Morosini
"Marino Grimani","Morosina Morosini","Marino Grimani (1595-1605)","1595-1606: Morosina Morosini",15,1595,1605,Grimani,Morosini
"Leonardo Donato",,"Leonardo Donato (1606-1612)",,16,1606,1612,Donato,
"Marcantonio Memmo",,"Marcantonio Memmo (1612-1615)",,16,1612,1615,Memmo,
"Giovanni Bembo",,"Giovanni Bembo (1615-1618)",,16,1615,1618,Bembo,
"Nicolò Donato",,"Nicolò Donato (1618-1618)",,16,1618,1618,Donato,
"Antonio Priuli","Elena Barbarigo","Antonio Priuli (1618-1623)","1618-1623: Elena Barbarigo",16,1618,1623,Priuli,Barbarigo
"Francesco Contarini",,"Francesco Contarini (1623-1624)",,16,1623,1624,Contarini,
"Giovanni I Corner","Chiara Delfino (o Dolfin)","Giovanni I Corner (1624-1630)","1625-1629: Chiara Delfino (o Dolfin)",16,1624,1630,Corner,Delfino
"Nicolò Contarini",,"Nicolò Contarini (1630-1631)",,16,1630,1631,Contarini,
"Francesco Erizzo",,"Francesco Erizzo (1631-1646)",,16,1631,1646,Erizzo,
"Francesco Molin",,"Francesco Molin (1646-1655)",,16,1646,1655,Molin,
"Carlo Contarini","Paolina Loredano (o Loredan)","Carlo Contarini (1655-1656)","1655-1656: Paolina Loredano (o Loredan)",16,1655,1656,Contarini,Loredan
"Francesco Corner","Andreana Priuli","Francesco Corner (1656-1656)","1656-1656: Andreana Priuli",16,1656,1656,Corner,Priuli
"Bertuccio Valier","Elisabetta Pisano (o Pisani)","Bertuccio Valier (1656-1658)","1656-1658: Elisabetta Pisano (o Pisani)",16,1656,1658,Valier,Pisani
"Giovanni Pesaro","Lucia Barbarigo","Giovanni Pesaro (1658-1659)","1658-1659: Lucia Barbarigo",16,1658,1659,Pesaro,Barbarigo
"Domenico Contarini",,"Domenico Contarini (1659-1674)",,16,1659,1674,Contarini,
"Nicolò Sagredo",,"Nicolò Sagredo (1674-1676)",,16,1674,1676,Sagredo,
"Luigi Contarini",,"Luigi Contarini (1676-1683)",,16,1676,1683,Contarini,
"Marcantonio Giustinian",,"Marcantonio Giustinian (1683-1688)",,16,1683,1688,Giustinian,
"Francesco Morosini",,"Francesco Morosini (1688-1694)",,16,1688,1694,Morosini,
"Silvestro Valier","Elisabetta Querini","Silvestro Valier (1694-1700)","1694-1700: Elisabetta Querini",16,1694,1700,Valier,Querini
"Alvise Mocenigo",,"Alvise Mocenigo (1700-1709)",,17,1700,1709,Mocenigo,
"Giovanni II Corner","Laura Cornaro (o Corner)","Giovanni II Corner (1709-1722)","1709-1722: Laura Cornaro (o Corner)",17,1709,1722,Corner,Corner
"Sebastiano Mocenigo",,"Sebastiano Mocenigo (1722-1732)",,17,1722,1732,Mocenigo,
"Carlo Ruzzini",,"Carlo Ruzzini (1732-1735)",,17,1732,1735,Ruzzini,
"Alvise Pisani","Elena Badoero (o Badoer)","Alvise Pisani (1735-1741)","1735-1741: Elena Badoero (o Badoer)",17,1735,1741,Pisani,Badoero
"Pietro Grimani",,"Pietro Grimani (1741-1752)",,17,1741,1752,Grimani,
"Francesco Loredan",,"Francesco Loredan (1752-1762)",,17,1752,1762,Loredan,
"Marco Foscarini",,"Marco Foscarini (1762-1763)",,17,1762,1763,Foscarini,
"Alvise Giovanni Mocenigo","Pisana Cornaro (o Corner)","Alvise Giovanni Mocenigo (1763-1779)","1763-1769: Pisana Cornaro (o Corner)",17,1763,1779,Mocenigo,Corner
"Alvise Giovanni Mocenigo","Polissena Contarini Da Mula","Alvise Giovanni Mocenigo (1763-1779)","1771-1779: Polissena Contarini Da Mula",17,1763,1779,Mocenigo,Contarini
"Paolo Renier","Margherita Dalmet - non riconosciuta","Paolo Renier (1779-1789)","1779-1789: Margherita Dalmet - non riconosciuta",17,1779,1789,Renier,Dalmet
"Ludovico Manin","Elisabetta Grimani","Ludovico Manin (1789-1797) - forzado a abdicar por Napoleón Bonaparte","1789-1792: Elisabetta Grimani",17,1789,1797,Manin,Grimani
